game_id,steam_id,name,protondb_rating,total_reports,last_synced
97,10047,App 10047,unknown,0,2026-01-31T00:34:10.666Z
99,10049,App 10049,unknown,0,2026-01-31T00:34:10.648Z
98,10048,App 10048,unknown,0,2026-01-31T00:34:10.641Z
100,10050,App 10050,unknown,0,2026-01-31T00:34:10.640Z
96,10046,App 10046,unknown,0,2026-01-31T00:34:09.855Z
95,10045,App 10045,unknown,0,2026-01-31T00:34:09.820Z
91,10041,App 10041,unknown,0,2026-01-31T00:34:09.770Z
93,10043,App 10043,unknown,0,2026-01-31T00:34:09.758Z
94,10044,App 10044,unknown,0,2026-01-31T00:34:09.758Z
92,10042,App 10042,unknown,0,2026-01-31T00:34:09.757Z
90,10040,App 10040,unknown,0,2026-01-31T00:34:08.946Z
86,10036,App 10036,unknown,0,2026-01-31T00:34:08.920Z
87,10037,App 10037,unknown,0,2026-01-31T00:34:08.884Z
88,10038,App 10038,unknown,0,2026-01-31T00:34:08.884Z
85,10035,App 10035,unknown,0,2026-01-31T00:34:08.856Z
89,10039,App 10039,unknown,0,2026-01-31T00:34:08.851Z
84,10034,App 10034,unknown,0,2026-01-31T00:34:08.104Z
81,10031,App 10031,unknown,0,2026-01-31T00:34:08.027Z
83,10033,App 10033,unknown,0,2026-01-31T00:34:08.020Z
79,10029,App 10029,unknown,0,2026-01-31T00:34:08.004Z
82,10032,App 10032,unknown,0,2026-01-31T00:34:08.004Z
80,10030,App 10030,unknown,0,2026-01-31T00:34:08.003Z
78,10028,App 10028,unknown,0,2026-01-31T00:34:07.219Z
74,10024,App 10024,unknown,0,2026-01-31T00:34:07.175Z
76,10026,App 10026,unknown,0,2026-01-31T00:34:07.165Z
75,10025,App 10025,unknown,0,2026-01-31T00:34:07.149Z
73,10023,App 10023,unknown,0,2026-01-31T00:34:07.130Z
77,10027,App 10027,unknown,0,2026-01-31T00:34:07.129Z
72,10022,App 10022,unknown,0,2026-01-31T00:34:06.391Z
67,10017,App 10017,unknown,0,2026-01-31T00:34:06.286Z
71,10021,App 10021,unknown,0,2026-01-31T00:34:06.286Z
69,10019,App 10019,unknown,0,2026-01-31T00:34:06.281Z
70,10020,App 10020,unknown,0,2026-01-31T00:34:06.281Z
68,10018,App 10018,unknown,0,2026-01-31T00:34:06.249Z
66,10016,App 10016,unknown,0,2026-01-31T00:34:05.547Z
65,10015,App 10015,unknown,0,2026-01-31T00:34:05.455Z
64,10014,App 10014,unknown,0,2026-01-31T00:34:05.442Z
63,10013,App 10013,unknown,0,2026-01-31T00:34:05.437Z
62,10012,App 10012,unknown,0,2026-01-31T00:34:05.400Z
61,10011,App 10011,unknown,0,2026-01-31T00:34:05.384Z
59,10009,App 10009,unknown,0,2026-01-31T00:34:04.678Z
60,10010,App 10010,unknown,0,2026-01-31T00:34:04.607Z
58,10008,App 10008,unknown,0,2026-01-31T00:34:04.569Z
55,10005,App 10005,unknown,0,2026-01-31T00:34:04.521Z
57,10007,App 10007,unknown,0,2026-01-31T00:34:04.515Z
56,10006,App 10006,unknown,0,2026-01-31T00:34:04.487Z
49,26000,App 26000,unknown,0,2026-01-31T00:34:03.768Z
53,10003,App 10003,unknown,0,2026-01-31T00:34:03.767Z
54,10004,App 10004,unknown,0,2026-01-31T00:34:03.699Z
50,27000,App 27000,unknown,0,2026-01-31T00:34:03.683Z
51,10001,App 10001,unknown,0,2026-01-31T00:34:03.663Z
52,10002,App 10002,unknown,0,2026-01-31T00:34:03.661Z
48,25000,App 25000,unknown,0,2026-01-31T00:34:02.836Z
46,23000,App 23000,unknown,0,2026-01-31T00:34:02.817Z
44,21000,App 21000,unknown,0,2026-01-31T00:34:02.806Z
43,20000,App 20000,unknown,0,2026-01-31T00:34:02.790Z
47,24000,App 24000,unknown,0,2026-01-31T00:34:02.790Z
45,22000,App 22000,unknown,0,2026-01-31T00:34:02.722Z
42,19000,App 19000,unknown,0,2026-01-31T00:34:01.946Z
40,17000,App 17000,unknown,0,2026-01-31T00:34:01.931Z
39,16000,App 16000,unknown,0,2026-01-31T00:34:01.928Z
37,14000,App 14000,unknown,0,2026-01-31T00:34:01.885Z
38,15000,App 15000,unknown,0,2026-01-31T00:34:01.876Z
41,18000,App 18000,unknown,0,2026-01-31T00:34:01.876Z
35,12000,App 12000,unknown,0,2026-01-31T00:34:01.046Z
31,8080,App 8080,unknown,0,2026-01-31T00:34:01.031Z
36,13000,App 13000,unknown,0,2026-01-31T00:34:01.029Z
34,11000,App 11000,unknown,0,2026-01-31T00:34:01.010Z
32,9090,App 9090,unknown,0,2026-01-31T00:34:00.994Z
33,10000,App 10000,unknown,0,2026-01-31T00:34:00.969Z
30,7070,App 7070,unknown,0,2026-01-31T00:34:00.174Z
29,6060,App 6060,unknown,0,2026-01-31T00:34:00.170Z
27,4040,App 4040,unknown,0,2026-01-31T00:34:00.127Z
28,5050,App 5050,unknown,0,2026-01-31T00:34:00.118Z
26,3030,App 3030,unknown,0,2026-01-31T00:34:00.115Z
25,2020,App 2020,unknown,0,2026-01-31T00:34:00.114Z
24,1010,App 1010,unknown,0,2026-01-31T00:33:59.316Z
22,456,App 456,unknown,0,2026-01-31T00:33:59.286Z
23,789,App 789,unknown,0,2026-01-31T00:33:59.245Z
21,123,App 123,unknown,0,2026-01-31T00:33:59.238Z
20,271591,App 271591,unknown,0,2026-01-31T00:33:59.224Z
19,391540,App 391540,unknown,0,2026-01-31T00:33:59.223Z
16,233450,App 233450,unknown,0,2026-01-31T00:33:58.416Z
18,275850,App 275850,unknown,0,2026-01-31T00:33:58.412Z
17,578900,App 578900,unknown,0,2026-01-31T00:33:58.372Z
14,322330,App 322330,unknown,0,2026-01-31T00:33:58.320Z
13,359550,App 359550,unknown,0,2026-01-31T00:33:58.318Z
15,252490,App 252490,unknown,0,2026-01-31T00:33:58.318Z
11,578,App 578,unknown,0,2026-01-31T00:33:57.546Z
12,5780,App 5780,unknown,0,2026-01-31T00:33:57.525Z
10,220,App 220,unknown,0,2026-01-31T00:33:57.503Z
7,238960,App 238960,unknown,0,2026-01-31T00:33:57.490Z
9,304930,App 304930,unknown,0,2026-01-31T00:33:57.457Z
8,292030,App 292030,unknown,0,2026-01-31T00:33:57.425Z
5,578080,App 578080,unknown,0,2026-01-31T00:33:56.661Z
6,271590,App 271590,unknown,0,2026-01-31T00:33:56.660Z
1,550,App 550,unknown,0,2026-01-31T00:33:56.606Z
4,440,App 440,unknown,0,2026-01-31T00:33:56.603Z
3,730,App 730,unknown,0,2026-01-31T00:33:56.577Z
2,570,App 570,unknown,0,2026-01-31T00:33:56.565Z
